"","...1","Species","Family","Relative.Growth.Rate","Mean.absolute.growth.rate","SD.growth.rate","SLA","LA","LDMC","LNC","LPC","WD","Height","Number.of.stems","Median.height","Category"
"28",28,"Dalbergia frutescens","Fabaceae",0.2427953065078,1.4,1.2,265.9940246,17.0979680000001,332.81126,3.31,0.25,0.559954161454545,16,39,6.5,"Understory"
"29",29,"Daphnopsis fasciculata","Thymelaeaceae",0.219253774654376,2.4,1.5,78.04026426,40.1377077700001,307.2943596,2.1,0.13,0.52,11,31,6.8,"Understory"
"30",30,"Diatenopteryx sorbifolia","Sapindaceae",0.201090376627344,4.2,2.5,178.561518,5.37498315599998,425.740789,2.3,0.2,0.605309322,26,24,12,"Canopy"
"31",31,"Drimys angustifolia","Winteraceae",0.271397678212662,2.9,3.3,97.71937228,7.40438306099998,313.2253361,1.68,0.11,0.4146050635,18,254,6,"Understory"
"32",32,"Drimys brasiliensis","Winteraceae",0.279962267066599,1.8,1.6,86.92938738,25.2167940000001,333.3304547,1,0.13,0.390963516142857,12,86,6,"Understory"
"33",33,"Erythroxylum deciduum","Erythroxylaceae",0.542372671501247,2.7,4.9,133.8771356,13.41397398,349.9196159,3,0.3,0.81,20,49,8.5,"Understory"
"34",34,"Eugenia handroi","Myrtaceae",0.194751397384731,1.8,1.9,76.68310437,3.61175366199999,357.8752764,1.95,0.14,0.661940202,17.5,21,11,"Canopy"
"35",35,"Eugenia multicostata","Myrtaceae",0.190819494966491,2.3,2.3,93.32392783,31.9040166700001,430.2314854,1.42,0.08,0.661940202,24,11,12.7,"Canopy"
"36",36,"Eugenia pyriformis","Myrtaceae",0.349454828709716,1.4,1.5,83.57911779,9.62884999999995,495.7580602,2.2,0.13,0.642947735,20,44,8.5,"Understory"
"37",37,"Eugenia subterminalis","Myrtaceae",0.218271668611311,1.4,1.9,92.28607183,4.79058498799998,397.8627896,1.67,0.14,0.661940202,13,41,8,"Understory"
"38",38,"Eugenia uniflora","Myrtaceae",0.260177965804787,1.2,1,127.3749715,6.95422142900003,439.1080226,1.6,0.1,0.783204287615385,23,114,7,"Understory"
"39",39,"Eugenia uruguayensis","Myrtaceae",0.271875474079469,1.5,1.5,87.18195184,8.86526552699996,414.4303399,1.5,0.12,0.726634935222222,13,33,8,"Understory"
"40",40,"Feijoa sellowiana","Myrtaceae",0.293101008846102,2.4,3,90.1391,19.7584,428.903,1.3,0.15,0.62,17,77,6,"Understory"
